file,arch,rows,seeds,lr_levels,bs_levels,clip_levels,LR_clip_x_bs,df_clip_x_bs,p_clip_x_bs,LR_clip_x_lr,df_clip_x_lr,p_clip_x_lr,LR_bs_x_lr,df_bs_x_lr,p_bs_x_lr,LR_lr,df_lr,p_lr,LR_bs,df_bs,p_bs,best_lr_level,best_lr_OR,best_lr_OR_low,best_lr_OR_high,same_best_bs_across_clip,same_best_lr_across_clip,same_best_bs_across_lr,same_best_clip_across_lr,lr_safe_to_fix,recommendation
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",810,30,"0.004,0.005,0.006","1,2,4","0.6,0.8,0.9",1.865197293818369,4,0.7605350346207573,1.9533839991801187,4,0.7443326310260688,1.183332042314305,4,0.8808351905349281,0.24450452414339452,2,0.8849251073027795,21.47645863341768,2,2.169932689177756e-05,0.006,1.065501467059907,0.6503191825295712,1.7457479447105044,True,False,True,True,True,fix lr=0.006 | tune bs; clip additive
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",810,30,"0.004,0.005,0.006","2,4,8","0.6,0.8,0.9",3.806576948036877,4,0.4328152038986459,2.6197808409460777,4,0.6233230631986999,2.2692104181679724,4,0.6863802577233675,9.449430647958252,2,0.008873239548943812,4.26517292379458,2,0.11853032287538201,0.006,2.2161542902335745,1.3126584021477865,3.7415216556605198,False,False,False,True,True,fix lr=0.006 | tune clip; bs additive
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",810,30,"0.004,0.005,0.006","2,4,8","0.6,0.8,0.9",0.5974857837641707,4,0.9633426632931086,2.604863458940656,4,0.6259618254988932,1.6449059445159833,4,0.8006994733314514,1.4685293176237337,2,0.47985818876128894,2.6155145025672937,2,0.2704258740642671,0.006,1.44859333525517,0.7955522395537555,2.6376930974674315,True,False,True,True,True,fix lr=0.006 | tune clip; bs additive
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",810,30,"0.004,0.005,0.006","2,4,8","0.6,0.8,0.9",0.7579192759257012,4,0.9439988711599344,1.9698686040728717,4,0.7413010316409391,1.078941889598923,4,0.8975987563559391,4.303152363227582,2,0.11630070220334532,5.367061054496844,2,0.06832151687479127,0.006,1.620798650181102,0.9985957619152408,2.630682368800056,True,True,True,False,True,fix lr=0.006 | tune clip; bs additive
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",810,30,"0.004,0.005,0.006","2,4,8","0.6,0.8,0.9",4.488448985914658,4,0.3439193294289301,3.1499263686599193,4,0.533056451501398,5.259837945074537,4,0.261660178393226,3.303071949690718,2,0.19175515121998532,5.424090888345347,2,0.06640084848633887,0.006,1.9010791498523163,0.9307889304307753,3.8828372532649005,False,False,False,False,True,fix lr=0.006 | tune clip; bs additive
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",810,30,"0.004,0.005,0.006","4,8,16","0.6,0.8,0.9",0.7248374677434413,4,0.9482310024311613,2.992973378495094,4,0.5590019764924126,2.2041516163422443,4,0.6982692737618057,3.0182310092528155,2,0.22110545825082617,23.420173757612304,2,8.210580924816746e-06,0.005,1.7443331828176811,0.8708429993902113,3.493968780606199,True,False,True,True,True,fix lr=0.005 | tune bs; clip additive
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",810,30,"0.004,0.005,0.006","4,8,16","0.6,0.8,0.9",4.949071722818417,4,0.29256308616321536,5.474046392073205,4,0.24202025973298158,0.6187260927046054,4,0.9609602331712879,7.401653855122845,2,0.02470309035564333,4.97861194114887,2,0.08296752850417421,0.006,1.9653949651966445,1.202083770891791,3.2134011478706155,False,True,False,False,True,fix lr=0.006 | tune clip; bs additive
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",810,30,"0.004,0.005,0.006","4,8,16","0.6,0.8,0.9",10.79815649855641,4,0.02892860755041693,2.1542126051718924,4,0.707420107451713,3.2688832725136763,4,0.5138774945080253,3.518062134158413,2,0.1722116445420785,14.20716754282762,2,0.0008221532280880961,0.005,1.6198649589287237,0.9817152172428907,2.6728346867581956,False,True,True,True,True,"fix lr=0.005 | grid: clip['0.8', '0.6'] × bs['16', '8']"
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",810,30,"0.004,0.005,0.006","4,8,16","0.6,0.8,0.9",26.229971206329196,4,2.8439015754222474e-05,1.725748824911534,4,0.7860351758492208,5.191459131080364,4,0.26821063491270747,11.510576257420325,2,0.003165994265787675,8.09016844830262,2,0.017508229977882594,0.006,1.9662157252752408,1.3241322144702574,2.919651252398768,False,False,True,True,True,"fix lr=0.006 | grid: clip['0.8', '0.6'] × bs['16', '8']"
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",810,30,"0.004,0.005,0.006","4,8,16","0.6,0.8,0.9",9.195337816819801,4,0.05639816459288105,2.8632663135606435,4,0.580961932928316,2.4277759166820942,4,0.6576136150363349,8.535511062454361,2,0.014013200072972909,2.5664674481246266,2,0.27713965669283114,0.006,1.9181544581093264,1.2311991367044044,2.9884008325519495,False,False,False,True,True,fix lr=0.006 | tune clip; bs additive
