file,model,arch,variable,level_vs_baseline,beta,OR,OR_CI_low,OR_CI_high
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",bs,2,0.4784843859812617,1.613626912367059,0.9632077899566789,2.7032503676411874
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",bs,4,1.159841503203676,3.189427721976847,1.9176266616666637,5.304707843847589
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",clip,0.8,0.2517323792287406,1.2862517635305017,0.7860020649455527,2.1048845454368252
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",clip,0.9,-0.06531304454358491,0.9367741654310783,0.5676393227558815,1.5459567402036554
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",lr,0.005,-0.06439535598516835,0.9376342269384584,0.5701720420135403,1.5419169632059977
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]",lr,0.006,0.06344554943020642,1.065501467059907,0.6503191825295712,1.7457479447105044
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",bs,4,-0.10552708514162097,0.8998500999493184,0.5349766733857922,1.5135803908124248
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",bs,8,-0.5204407812999584,0.5942585521758733,0.3533698146054181,0.9993587800601871
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",clip,0.8,0.8345069587332706,2.3036779599413024,1.3759324242987407,3.856971497582127
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",clip,0.9,1.5042218965395668,4.500650295917489,2.6198346686160936,7.731729535758135
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",lr,0.005,0.5490812508853551,1.7316613244871781,1.032236796764214,2.9050029529315915
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]",lr,0.006,0.795773392017958,2.2161542902335745,1.3126584021477865,3.7415216556605198
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",bs,4,-0.08753630344750175,0.9161856103509242,0.5129558862930756,1.6363903700960927
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",bs,8,0.38458274147663307,1.4690012402550312,0.7975293904008854,2.7058120614039054
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",clip,0.8,0.6617812807978642,1.9382418141691038,1.0514187627976705,3.573059054222408
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",clip,0.9,0.17170300781535267,1.1873251545535577,0.6682322484606518,2.109657272427553
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",lr,0.005,0.178442143115181,1.1953537218301633,0.6652416861504227,2.147896847177029
"n=3,out=25,arch=[4],model=binarized.json",binarized,"n=3, out=25, arch=[4]",lr,0.006,0.3705929719505911,1.44859333525517,0.7955522395537555,2.6376930974674315
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",bs,4,-0.30318885286695757,0.7384596229839897,0.4552453856110218,1.1978652217325265
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",bs,8,-0.5717031282478355,0.5645630960790867,0.34770247059812764,0.9166788171108281
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",clip,0.8,0.6000385467554531,1.8221890385120312,1.1225693968796833,2.9578330758907
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",clip,0.9,0.41790466075244254,1.5187758685509931,0.9388381626991131,2.456951826778358
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",lr,0.005,0.0895463601372994,1.0936780352009416,0.6774420439227649,1.765659004207544
"n=3,out=30,arch=[3],model=binarized.json",binarized,"n=3, out=30, arch=[3]",lr,0.006,0.48291902170165746,1.620798650181102,0.9985957619152408,2.630682368800056
