n_input,canonical,cont_neurons,bin_neurons
4,105,2,3
4,15555,2,3
4,1686,2,3
4,1695,2,3
4,1687,2,3
4,1718,2,3
4,1972,2,3
4,2018,2,3
4,361,2,3
4,5766,2,3
4,5782,2,3
4,5790,2,3
