canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
6,[2],0,0.005,8,,continuous,458,10000,0.01,100,100.0,1
27,[2],0,0.004,4,,continuous,458,10000,0.01,100,100.0,1
25,[2],0,0.005,4,,continuous,458,10000,0.01,100,100.0,1
60,[2],0,0.006,2,,continuous,458,10000,0.01,100,100.0,1
24,[2],1,0.006,2,,continuous,458,10000,0.01,100,100.0,1
105,[2],21,0.006,8,,continuous,458,10000,0.01,100,100.0,1
22,[2],9,0.004,4,,continuous,458,10000,0.01,100,100.0,1
30,[2],51,0.005,2,,continuous,458,10000,0.01,100,100.0,1
