canonical,architecture,best_lr,best_bs,success_rate
105,[2],0.006,8,0.0
30,[3],0.005,2,0.5
22,[3],0.004,4,0.5
60,[2],0.006,2,0.6
6,[2],0.005,8,0.8
27,[2],0.004,4,0.9
25,[2],0.005,4,0.4
24,[2],0.006,2,0.7
