canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
1716,[3],0,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
1721,[3],0,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
1912,[2],2,0.005,8,0.9,binarized,10,10000,0.01,100,100.0,1
1910,[3],0,0.004,16,0.6,binarized,10,10000,0.01,100,100.0,1
1717,[3],1,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
1777,[2],9,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
1782,[3],0,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
1785,[3],3,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
1968,[2],0,0.006,8,0.6,binarized,10,10000,0.01,100,100.0,1
1969,[2],1,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
1778,[3],2,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
2017,[2],1,0.005,16,0.9,binarized,10,10000,0.01,100,100.0,1
1914,[2],2,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
1918,[2],8,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
1973,[2],5,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
2016,[2],1,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
2033,[2],0,0.004,16,0.6,binarized,10,10000,0.01,100,100.0,1
2019,[2],1,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
1913,[3],0,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
2025,[2],4,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
22,[2],1,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
2032,[2],1,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
2022,[3],0,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
2034,[2],2,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
24,[2],3,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
2040,[2],7,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
1980,[3],2,0.005,8,0.9,binarized,10,10000,0.01,100,100.0,1
25,[2],3,0.004,8,0.9,binarized,10,10000,0.01,100,100.0,1
27,[2],3,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
286,[2],0,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
283,[2],0,0.006,8,0.6,binarized,10,10000,0.01,100,100.0,1
1974,[3],1,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
281,[2],5,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
280,[2],8,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
1972,[3],1,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
278,[2],6,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
2018,[3],2,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
30,[2],2,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
