canonical,architecture,best_lr,best_bs,best_clip,success_rate
105,[3],0.006,8,0.9,0.5
30,[2],0.006,2,0.9,0.2
6,[2],0.005,8,0.6,0.5
27,[2],0.005,2,0.8,0.7
22,[3],0.005,8,0.8,0.8
60,[2],0.004,8,0.9,0.7
25,[2],0.004,2,0.8,0.5
24,[2],0.005,8,0.8,0.7
