canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
387,[2],0,0.005,4,,continuous,458,10000,0.01,100,100.0,1
393,[2],0,0.005,4,,continuous,458,10000,0.01,100,100.0,1
407,[2],4,0.005,8,,continuous,458,10000,0.01,100,100.0,1
395,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
399,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
386,[2],123,0.005,8,,continuous,458,10000,0.01,100,100.0,1
4080,[2],0,0.006,4,,continuous,458,10000,0.01,100,100.0,1
382,[3],13,0.004,16,,continuous,458,10000,0.01,100,100.0,1
409,[2],3,0.004,16,,continuous,458,10000,0.01,100,100.0,1
410,[2],3,0.005,8,,continuous,458,10000,0.01,100,100.0,1
363,[3],1,0.005,8,,continuous,458,10000,0.01,100,100.0,1
411,[2],2,0.005,4,,continuous,458,10000,0.01,100,100.0,1
366,[2],257,0.004,4,,continuous,458,10000,0.01,100,100.0,1
424,[2],4,0.004,16,,continuous,458,10000,0.01,100,100.0,1
415,[2],0,0.005,16,,continuous,458,10000,0.01,100,100.0,1
427,[2],3,0.004,8,,continuous,458,10000,0.01,100,100.0,1
425,[2],4,0.005,16,,continuous,458,10000,0.01,100,100.0,1
426,[2],197,0.004,16,,continuous,458,10000,0.01,100,100.0,1
360,[3],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
414,[3],22,0.005,16,,continuous,458,10000,0.01,100,100.0,1
408,[3],2,0.004,16,,continuous,458,10000,0.01,100,100.0,1
445,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
431,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
429,[2],11,0.004,8,,continuous,458,10000,0.01,100,100.0,1
447,[2],0,0.006,4,,continuous,458,10000,0.01,100,100.0,1
488,[2],4,0.004,8,,continuous,458,10000,0.01,100,100.0,1
489,[2],2,0.004,16,,continuous,458,10000,0.01,100,100.0,1
490,[2],4,0.004,8,,continuous,458,10000,0.01,100,100.0,1
362,[3],0,0.004,4,,continuous,458,10000,0.01,100,100.0,1
428,[3],5,0.004,16,,continuous,458,10000,0.01,100,100.0,1
491,[2],4,0.006,4,,continuous,458,10000,0.01,100,100.0,1
495,[2],4,0.004,16,,continuous,458,10000,0.01,100,100.0,1
5736,[2],3,0.005,4,,continuous,458,10000,0.01,100,100.0,1
391,[3],2,0.005,4,,continuous,458,10000,0.01,100,100.0,1
5738,[2],3,0.005,4,,continuous,458,10000,0.01,100,100.0,1
430,[2],452,0.004,8,,continuous,458,10000,0.01,100,100.0,1
5758,[2],7,0.004,8,,continuous,458,10000,0.01,100,100.0,1
446,[3],17,0.004,16,,continuous,458,10000,0.01,100,100.0,1
5737,[3],12,0.005,16,,continuous,458,10000,0.01,100,100.0,1
5742,[2],59,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5766,[2],13,0.004,16,,continuous,458,10000,0.01,100,100.0,1
406,[3],4,0.004,4,,continuous,458,10000,0.01,100,100.0,1
444,[2],432,0.006,4,,continuous,458,10000,0.01,100,100.0,1
494,[3],3,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5782,[2],39,0.004,16,,continuous,458,10000,0.01,100,100.0,1
510,[3],24,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5763,[3],3,0.004,8,,continuous,458,10000,0.01,100,100.0,1
5739,[3],1,0.006,4,,continuous,458,10000,0.01,100,100.0,1
5761,[3],4,0.004,8,,continuous,458,10000,0.01,100,100.0,1
5784,[3],0,0.006,16,,continuous,458,10000,0.01,100,100.0,1
5774,[3],46,0.004,16,,continuous,458,10000,0.01,100,100.0,1
5767,[3],1,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5790,[2],43,0.005,4,,continuous,458,10000,0.01,100,100.0,1
5769,[3],2,0.005,4,,continuous,458,10000,0.01,100,100.0,1
5783,[3],1,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5771,[3],2,0.004,4,,continuous,458,10000,0.01,100,100.0,1
5786,[3],2,0.004,8,,continuous,458,10000,0.01,100,100.0,1
6,[2],0,0.005,16,,continuous,458,10000,0.01,100,100.0,1
6014,[2],18,0.005,4,,continuous,458,10000,0.01,100,100.0,1
60,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
5785,[3],0,0.006,4,,continuous,458,10000,0.01,100,100.0,1
5804,[3],3,0.006,8,,continuous,458,10000,0.01,100,100.0,1
5787,[3],0,0.004,4,,continuous,458,10000,0.01,100,100.0,1
61,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
5801,[3],3,0.005,4,,continuous,458,10000,0.01,100,100.0,1
5805,[3],3,0.004,4,,continuous,458,10000,0.01,100,100.0,1
6038,[3],4,0.004,4,,continuous,458,10000,0.01,100,100.0,1
6120,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
5820,[3],4,0.006,4,,continuous,458,10000,0.01,100,100.0,1
5865,[3],10,0.005,4,,continuous,458,10000,0.01,100,100.0,1
6040,[3],6,0.004,8,,continuous,458,10000,0.01,100,100.0,1
828,[2],49,0.004,16,,continuous,458,10000,0.01,100,100.0,1
6375,[3],2,0.004,8,,continuous,458,10000,0.01,100,100.0,1
829,[3],21,0.004,16,,continuous,458,10000,0.01,100,100.0,1
6627,[3],4,0.006,8,,continuous,458,10000,0.01,100,100.0,1
6630,[3],0,0.005,8,,continuous,458,10000,0.01,100,100.0,1
6042,[3],0,0.005,4,,continuous,458,10000,0.01,100,100.0,1
855,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
6030,[2],437,0.004,4,,continuous,458,10000,0.01,100,100.0,1
7128,[3],0,0.005,16,,continuous,458,10000,0.01,100,100.0,1
7905,[3],0,0.006,8,,continuous,458,10000,0.01,100,100.0,1
859,[2],0,0.005,8,,continuous,458,10000,0.01,100,100.0,1
6625,[3],4,0.006,4,,continuous,458,10000,0.01,100,100.0,1
863,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
872,[2],7,0.005,8,,continuous,458,10000,0.01,100,100.0,1
854,[3],37,0.005,16,,continuous,458,10000,0.01,100,100.0,1
6060,[3],0,0.006,4,,continuous,458,10000,0.01,100,100.0,1
858,[2],209,0.005,8,,continuous,458,10000,0.01,100,100.0,1
876,[2],3,0.006,4,,continuous,458,10000,0.01,100,100.0,1
856,[3],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
879,[2],87,0.004,8,,continuous,458,10000,0.01,100,100.0,1
878,[2],8,0.004,16,,continuous,458,10000,0.01,100,100.0,1
892,[2],14,0.006,4,,continuous,458,10000,0.01,100,100.0,1
862,[3],29,0.004,16,,continuous,458,10000,0.01,100,100.0,1
7140,[3],1,0.004,8,,continuous,458,10000,0.01,100,100.0,1
963,[2],3,0.004,8,,continuous,458,10000,0.01,100,100.0,1
960,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
961,[2],1,0.004,4,,continuous,458,10000,0.01,100,100.0,1
966,[2],8,0.004,16,,continuous,458,10000,0.01,100,100.0,1
967,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
965,[2],1,0.004,16,,continuous,458,10000,0.01,100,100.0,1
975,[2],0,0.006,4,,continuous,458,10000,0.01,100,100.0,1
980,[2],4,0.004,16,,continuous,458,10000,0.01,100,100.0,1
982,[2],4,0.004,16,,continuous,458,10000,0.01,100,100.0,1
981,[2],1,0.004,4,,continuous,458,10000,0.01,100,100.0,1
983,[2],4,0.006,4,,continuous,458,10000,0.01,100,100.0,1
875,[3],6,0.004,8,,continuous,458,10000,0.01,100,100.0,1
987,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
988,[2],3,0.006,4,,continuous,458,10000,0.01,100,100.0,1
893,[3],17,0.004,16,,continuous,458,10000,0.01,100,100.0,1
989,[2],3,0.005,8,,continuous,458,10000,0.01,100,100.0,1
894,[3],27,0.004,16,,continuous,458,10000,0.01,100,100.0,1
990,[2],439,0.006,16,,continuous,458,10000,0.01,100,100.0,1
873,[3],8,0.006,4,,continuous,458,10000,0.01,100,100.0,1
857,[3],5,0.004,4,,continuous,458,10000,0.01,100,100.0,1
874,[3],2,0.004,4,,continuous,458,10000,0.01,100,100.0,1
984,[3],1,0.005,8,,continuous,458,10000,0.01,100,100.0,1
877,[3],11,0.004,4,,continuous,458,10000,0.01,100,100.0,1
985,[3],1,0.004,4,,continuous,458,10000,0.01,100,100.0,1
